"0","5","28"
"1","5","29"
"2","5","6"
"3","5","30"
"4","5","31"
"5","5","26"
"6","6","28"
"7","6","29"
"8","6","6"
"9","6","30"
"10","6","31"
"11","6","26"
"12","4","16"
"13","4","17"
"14","4","18"
"15","4","19"
"16","4","20"
"17","4","21"
"18","4","23"
"19","8","30"
"20","8","31"
"21","8","32"
"22","8","33"
"23","8","34"
"24","7","6"
"25","7","7"
"26","7","5"
"27","7","4"
"28","7","26"
"29","7","25"
"30","7","13"
"31","7","15"
"32","7","14"
"33","7","12"
"34","9","28"
"35","9","29"
"36","9","6"
"37","9","30"
"38","9","31"
"39","9","5"
"40","9","6"
"41","9","15"
"42","9","14"
